[Epoch 063] train_loss=-3.10581706 | score=0.94153916 | val_nll=-3.24760183 | val_acc=0.95998146 | val_dt_mae=1.76721330 | val_qty_mae=0.77016442 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 064] train_loss=-3.11331286 | score=0.94219622 | val_nll=-3.25244842 | val_acc=0.96058411 | val_dt_mae=1.76721330 | val_qty_mae=0.71575853 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 065] train_loss=-3.11866793 | score=0.94279723 | val_nll=-3.25658614 | val_acc=0.96122153 | val_dt_mae=1.76721330 | val_qty_mae=0.75217139 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 066] train_loss=-3.12454707 | score=0.94291319 | val_nll=-3.26735431 | val_acc=0.96136061 | val_dt_mae=1.76721330 | val_qty_mae=0.77528701 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 067] train_loss=-3.12985988 | score=0.94263121 | val_nll=-3.27199442 | val_acc=0.96100133 | val_dt_mae=1.76721330 | val_qty_mae=0.69799254 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 068] train_loss=-3.13529755 | score=0.94125780 | val_nll=-3.27529538 | val_acc=0.95966854 | val_dt_mae=1.76721330 | val_qty_mae=0.73860911 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 069] train_loss=-3.14145041 | score=0.94273335 | val_nll=-3.27905735 | val_acc=0.96107087 | val_dt_mae=1.76721330 | val_qty_mae=0.66539000 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 070] train_loss=-3.14587032 | score=0.94429619 | val_nll=-3.28917830 | val_acc=0.96277453 | val_dt_mae=1.76721330 | val_qty_mae=0.80620193 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 071] train_loss=-3.15138423 | score=0.94323273 | val_nll=-3.29267785 | val_acc=0.96161558 | val_dt_mae=1.76721330 | val_qty_mae=0.71071532 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 072] train_loss=-3.15627580 | score=0.94422699 | val_nll=-3.29869371 | val_acc=0.96257750 | val_dt_mae=1.76721330 | val_qty_mae=0.67838530 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 073] train_loss=-3.16166423 | score=0.94410156 | val_nll=-3.30355838 | val_acc=0.96243843 | val_dt_mae=1.76721330 | val_qty_mae=0.66473710 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 074] train_loss=-3.16602639 | score=0.94342150 | val_nll=-3.30234550 | val_acc=0.96176624 | val_dt_mae=1.76721330 | val_qty_mae=0.67260640 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
