dataset,seed,scope_type,scope,prototype_id,event_count,selection_count,selection_share,event_hit_share,rank1_count,rank1_share,selected_similarity_mean,prototype_used
insta_market_basket,42,quantity,le_p50,30,247651,386,0.0003896612571723918,0.0015586450286895672,105,0.00042398375132747296,0.14653500296441485,true
insta_market_basket,42,quantity,le_p50,31,247651,7192,0.00726021699892187,0.02904086799568748,911,0.0036785637853269317,0.30308326455312196,true
insta_market_basket,42,quantity,le_p50,32,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,33,247651,4,4.037940488833076e-6,0.000016151761955332303,1,4.037940488833076e-6,-0.03789752791635692,true
insta_market_basket,42,quantity,le_p50,34,247651,7,7.066395855457882e-6,0.000028265583421831528,0,0.0,0.2144721151728715,true
insta_market_basket,42,quantity,le_p50,35,247651,22,0.000022208672688581916,0.00008883469075432766,1,4.037940488833076e-6,0.20059824133799833,true
insta_market_basket,42,quantity,le_p50,36,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,37,247651,3051,0.0030799391078574286,0.012319756431429714,1063,0.0042923307396295594,0.41472815067767704,true
insta_market_basket,42,quantity,le_p50,38,247651,1,1.009485122208269e-6,4.037940488833076e-6,0,0.0,0.480492502450943,true
insta_market_basket,42,quantity,le_p50,39,247651,2768,0.0027942548182724883,0.011177019273089953,341,0.0013769377066920787,0.5293857670157631,true
insta_market_basket,42,quantity,le_p50,40,247651,8098,0.008174810519642561,0.032699242078570244,3331,0.013450379768302975,0.3230279884522801,true
insta_market_basket,42,quantity,le_p50,41,247651,15,0.000015142276833124033,0.00006056910733249613,0,0.0,0.29471169312795004,true
insta_market_basket,42,quantity,le_p50,42,247651,23,0.000023218157810790186,0.00009287263124316074,0,0.0,0.18675699052603348,true
insta_market_basket,42,quantity,le_p50,43,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,44,247651,2,2.018970244416538e-6,8.075880977666152e-6,0,0.0,-0.05544775937596569,true
insta_market_basket,42,quantity,le_p50,45,247651,9,9.08536609987442e-6,0.00003634146439949768,0,0.0,-0.012110698968172073,true
insta_market_basket,42,quantity,le_p50,46,247651,7,7.066395855457882e-6,0.000028265583421831528,0,0.0,0.038261713327041695,true
insta_market_basket,42,quantity,le_p50,47,247651,196513,0.19837694982051354,0.7935077992820542,661,0.002669078663118663,0.41567900644496675,true
insta_market_basket,42,quantity,le_p50,48,247651,455,0.00045931573060476236,0.0018372629224190494,41,0.0001655555600421561,0.2931427300467596,true
insta_market_basket,42,quantity,le_p50,49,247651,232506,0.23471134782415576,0.938845391296623,59860,0.2417111176615479,0.42315728869482416,true
insta_market_basket,42,quantity,le_p50,50,247651,160978,0.1625048960028427,0.6500195840113708,104684,0.4227077621330017,0.4296535017570912,true
insta_market_basket,42,quantity,le_p50,51,247651,1,1.009485122208269e-6,4.037940488833076e-6,0,0.0,0.12138693034648895,true
insta_market_basket,42,quantity,le_p50,52,247651,48428,0.048887345498302044,0.19554938199320818,8352,0.033724878962733844,0.3431276734833241,true
insta_market_basket,42,quantity,le_p50,53,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,54,247651,481,0.00048556234378217735,0.0019422493751287094,98,0.0003957181679056414,0.18217039126210618,true
insta_market_basket,42,quantity,le_p50,55,247651,21,0.000021199187566373645,0.00008479675026549458,0,0.0,0.04879355503778372,true
insta_market_basket,42,quantity,le_p50,56,247651,16,0.000016151761955332303,0.00006460704782132921,5,0.000020189702444165378,-0.008883957867510617,true
insta_market_basket,42,quantity,le_p50,57,247651,292,0.0002947696556848145,0.001179078622739258,61,0.00024631436981881763,0.08107092033486418,true
insta_market_basket,42,quantity,le_p50,58,247651,15,0.000015142276833124033,0.00006056910733249613,0,0.0,0.5111610372861226,true
insta_market_basket,42,quantity,le_p50,59,247651,47,0.000047445800743788636,0.00018978320297515454,18,0.00007268292879899536,0.09165832009959093,true
insta_market_basket,42,quantity,le_p50,60,247651,3,3.0284553666248066e-6,0.000012113821466499227,0,0.0,0.3820068637530009,true
insta_market_basket,42,quantity,le_p50,61,247651,1,1.009485122208269e-6,4.037940488833076e-6,0,0.0,-0.10210675001144409,true
insta_market_basket,42,quantity,le_p50,62,247651,7,7.066395855457882e-6,0.000028265583421831528,2,8.075880977666152e-6,-0.056189004597919326,true
insta_market_basket,42,quantity,le_p50,63,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,p50_p90,0,202534,1463,0.0018058696317655308,0.007223478527062123,10,0.00004937442602229749,0.29537063615106335,true
insta_market_basket,42,quantity,p50_p90,1,202534,21,0.000025921573661706183,0.00010368629464682473,1,4.937442602229749e-6,0.16037485891553974,true
insta_market_basket,42,quantity,p50_p90,2,202534,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,p50_p90,3,202534,197097,0.2432887811429192,0.9731551245716769,110816,0.5471476394086918,0.4872672195651904,true
